alpha,r_squared,r_squared_validation,sum(abs(w)),sum(abs(w) > 0.0)
0.00048828125,0.161111297875,-0.03552427937,0.0149723072101,9
0.000244140625,0.243224142606,0.221746198308,0.0287716670708,12
0.0001220703125,0.274582923249,0.315319301206,0.0396330428669,17
6.103515625e-05,0.297316549316,0.435505155782,0.0562949537247,30
3.0517578125e-05,0.312838165326,0.505177009482,0.0779882566184,45
1.52587890625e-05,0.336812440029,0.526186928711,0.150441764958,95
7.62939453125e-06,0.367640850354,0.500406833107,0.333908962073,187
3.81469726562e-06,0.401235369555,0.437714708929,0.717072662333,272
1.90734863281e-06,0.422103379508,0.366119845805,1.19874822121,361
9.53674316406e-07,0.433535234798,0.344138244159,1.76860760763,468
4.76837158203e-07,0.438934335405,0.318691639915,2.37834729567,649
