alpha,r_squared,r_squared_validation,sum(abs(w)),sum(abs(w) > 0.0)
0.0078125,0.147853927921,-0.00991846475774,0.083660365694,8
0.00390625,0.246678421791,0.278952843335,0.175946112377,10
0.001953125,0.287876279638,0.364310722258,0.258004574328,19
0.0009765625,0.310510261189,0.430572551125,0.347766763355,28
0.00048828125,0.328850540684,0.510425403817,0.489425303522,55
0.000244140625,0.347997324486,0.536603263621,0.817786206129,127
0.0001220703125,0.383677071909,0.52869445978,1.97517960866,242
6.103515625e-05,0.419801918446,0.472212233873,4.28141108315,356
3.0517578125e-05,0.442907225587,0.413769305449,7.23068153156,474
1.52587890625e-05,0.45439178275,0.367975094137,10.2759782817,588
7.62939453125e-06,0.459297475286,0.339502152919,13.3787658998,793
