alpha,r_squared,sum(abs(w)),sum(abs(w) > 0.0)
0.0078125,0.152042594673,0.0977239079364,8
0.00390625,0.241024275012,0.181305751996,13
0.001953125,0.279902160174,0.259486992696,18
0.0009765625,0.301221140564,0.343468316578,22
0.00048828125,0.319473204776,0.485734809887,54
0.000244140625,0.339097687288,0.825045387022,128
0.0001220703125,0.375026937035,1.9989546958,228
6.103515625e-05,0.411321674954,4.33158103905,353
3.0517578125e-05,0.434607729658,7.33588226149,473
1.52587890625e-05,0.44609517729,10.4141407339,570
7.62939453125e-06,0.450958061545,13.5409111248,794
