alpha,r_squared,sum(abs(w)),sum(abs(w) > 0.0)
0.0009765625,0.0937557802101,0.00635176277432,8
0.00048828125,0.219694780798,0.0167571909278,11
0.000244140625,0.261675526888,0.0241291804523,16
0.0001220703125,0.286032354171,0.0323139497227,17
6.103515625e-05,0.305074819096,0.0458691342478,41
3.0517578125e-05,0.320561872939,0.0688439545233,91
1.52587890625e-05,0.354699663028,0.168677577621,196
7.62939453125e-06,0.391453977897,0.37911803793,321
3.81469726562e-06,0.418052035213,0.678778073159,433
1.90734863281e-06,0.43189983088,0.997426733858,543
9.53674316406e-07,0.438245326043,1.3299280936,711
